,date,country,monthly_hashrate_%,monthly_absolute_hashrate_EH/S,Spend on electricity,Average electicity price,Electricity Used (kwh),Electricity Used (Twh)
83,2020-09-01,Other,4.95,6.72,3310553.233308659,0.137,24164622.140939113,0.02416462214093911
84,2020-09-01,Malaysia,4.48,6.08,2996217.8758025845,0.093,32217396.514006283,0.032217396514006284
85,2020-09-01,Kazakhstan,4.09,5.55,2735386.408935841,0.055,49734298.34428802,0.04973429834428802
86,2020-09-01,"Iran, Islamic Rep.",2.47,3.35,1651932.6234893713,0.004,412983155.8723428,0.4129831558723428
87,2020-09-01,Canada,1.84,2.49,1230589.4847046328,0.179,6874801.590528675,0.006874801590528675
88,2020-09-01,Ireland *,1.41,1.91,943006.072518224,0.213,4427258.556423587,0.004427258556423587
89,2020-09-01,Germany *,0.82,1.12,548414.8790531515,0.3216,1705270.1463095506,0.0017052701463095507
90,2020-10-01,Mainland China,67.38,88.92,50921738.67366981,0.098,519609578.3027531,0.5196095783027531
91,2020-10-01,United States,6.71,8.86,5071013.156727877,0.1042,48666153.135584235,0.048666153135584235
92,2020-10-01,Other,5.27,6.96,3982748.038145442,0.137,29071153.563105416,0.029071153563105415
93,2020-10-01,Russian Federation,0.49,6.47,370312.4361843011,0.088,4208095.8657306945,0.004208095865730695
94,2020-10-01,Malaysia,4.12,5.44,3113647.4226108585,0.093,33480079.813019983,0.03348007981301998
95,2020-10-01,Kazakhstan,3.59,4.74,2713105.3997992673,0.055,49329189.087259404,0.049329189087259404
96,2020-10-01,"Iran, Islamic Rep.",2.82,3.73,2131185.857223937,0.004,532796464.3059842,0.5327964643059842
97,2020-10-01,Ireland *,2.51,3.31,1896906.5608624402,0.213,8905664.604987983,0.008905664604987982
98,2020-10-01,Canada,1.51,2.0,1141166.8951801932,0.179,6375234.051285996,0.006375234051285996
99,2020-10-01,Germany *,1.18,1.56,891772.8055050516,0.3216,2772925.3902520263,0.0027729253902520263
100,2020-11-01,Mainland China,55.58,71.7,60228526.49893789,0.098,614576801.0095702,0.6145768010095702
101,2020-11-01,United States,9.38,12.1,10164512.028788008,0.1042,97548100.08433789,0.0975481000843379
102,2020-11-01,Other,7.36,9.49,7975565.941565003,0.137,58215809.79244527,0.05821580979244527
103,2020-11-01,Russian Federation,6.77,8.73,7336220.302227591,0.088,83366139.7980408,0.0833661397980408
104,2020-11-01,Malaysia,5.27,6.8,5710765.286962984,0.093,61406078.35444069,0.06140607835444069
105,2020-11-01,Kazakhstan,4.77,6.15,5168946.948541448,0.055,93980853.60984452,0.09398085360984453
106,2020-11-01,"Iran, Islamic Rep.",0.4,5.16,433454.6707372285,0.004,108363667.68430711,0.10836366768430711
107,2020-11-01,Ireland *,3.07,3.96,3326764.597908228,0.213,15618613.135719381,0.015618613135719382
108,2020-11-01,Germany *,2.16,2.79,2340655.2219810337,0.3216,7278156.784766896,0.007278156784766896
109,2020-11-01,Canada,1.65,2.12,1788000.5167910676,0.179,9988829.702743394,0.009988829702743394
110,2020-12-01,Mainland China,53.27,72.72,71553333.4979187,0.098,730136056.1012112,0.7301360561012112
111,2020-12-01,United States,10.41,14.21,13982921.00081347,0.1042,134193099.81586823,0.13419309981586822
112,2020-12-01,Russian Federation,7.16,9.78,9617455.750799658,0.088,109289269.89545067,0.10928926989545067
113,2020-12-01,Other,6.95,9.48,9335379.53464492,0.137,68141456.45726219,0.06814145645726219
114,2020-12-01,Kazakhstan,5.35,7.3,7186227.411561198,0.055,130658680.21020359,0.13065868021020358
115,2020-12-01,Malaysia,5.29,7.21,7105634.206945558,0.093,76404668.89188772,0.07640466889188773
116,2020-12-01,"Iran, Islamic Rep.",4.78,6.52,6420591.967712621,0.004,1605147991.9281552,1.6051479919281553
117,2020-12-01,Ireland *,3.09,4.21,4150550.0377054387,0.213,19486150.411762625,0.019486150411762625
118,2020-12-01,Germany *,2.89,3.94,3881906.0223199744,0.3216,12070603.303233752,0.012070603303233752
119,2020-12-01,Canada,0.83,1.13,1114872.6638496812,0.179,6228338.904188163,0.006228338904188163
